Name,Rank,State,Growth From 2000 to 2013,Population,Lat,Long,Location_Type
Encinitas,570,California,5.8,61588,33.0369867,-117.2919818,Vendor
Delano,701,California,31.8,52403,35.7688425,-119.2470536,Vendor
St. Cloud,520,Minnesota,10.9,66297,45.5579451,-94.1632404,Vendor
Anderson,655,Indiana,-6.6,55670,40.1053196,-85.6802541,Vendor
Harlingen,527,Texas,11.6,65665,26.1906306,-97.6961026,Vendor
Shawnee,541,Kansas,32.2,64323,39.0228485,-94.7151865,Vendor
Moore,618,Oklahoma,41.5,58414,35.3395079,-97.4867028,Vendor
Kokomo,635,Indiana,21.3,56895,40.486427,-86.1336033,Vendor
East Providence,793,Rhode Island,-3.3,47149,41.8137116,-71.3700545,Vendor
San Jacinto,810,California,91.8,45851,33.7839084,-116.958635,Vendor
Stillwater,792,Oklahoma,20.1,47186,36.1156071,-97.0583681,Vendor
Oakland Park,849,Florida,2.7,43286,26.1723065,-80.1319893,Vendor
Littleton,832,Colorado,9.4,44275,39.613321,-105.0166498,Vendor
Lompoc,844,California,5.5,43509,34.6391501,-120.4579409,Vendor
Hutchinson,874,Kansas,0.1,41889,38.0608445,-97.9297743,Vendor
Texas City,806,Texas,10.3,46081,29.383845,-94.9027002,Vendor
Urbandale,876,Iowa,41.5,41776,41.6266555,-93.7121656,Vendor
Mentor,796,Ohio,-6.6,46979,41.6661573,-81.339552,Vendor
Beaumont,910,California,254.5,40481,33.9294606,-116.977248,Vendor
Prescott,907,Arizona,18.1,40590,34.5400242,-112.4685025,Vendor
Muskegon,990,Michigan,-7.1,37213,43.2341813,-86.2483921,Vendor
St. Cloud,898,Florida,86.2,40918,28.2489016,-81.2811801,Vendor
Spanish Fork,998,Utah,78.1,36956,40.114955,-111.654923,Vendor
Lancaster,968,Texas,46.4,38071,32.5920798,-96.7561082,Vendor
Marana,964,Arizona,166.2,38290,32.436381,-111.2224422,Vendor
High Point,260,North Carolina,24.3,107741,35.9556923,-80.0053176,Vendor
Brockton,317,Massachusetts,-0.3,94089,42.0834335,-71.0183787,Vendor
Livermore,370,California,15.1,85156,37.6818745,-121.7680088,Vendor
Fairfield,255,California,12.8,109320,38.2493581,-122.0399663,Vendor
Rialto,284,California,9.8,101910,34.1064001,-117.3703235,Vendor
Plantation,340,Florida,8.6,90268,26.1275862,-80.2331036,Vendor
Fargo,237,North Dakota,24.9,113658,46.8771863,-96.7898034,Vendor
Avondale,413,Arizona,111.5,78822,33.4355977,-112.3496021,Vendor
Goodyear,462,Arizona,271,72864,33.4353394,-112.3576567,Vendor
Boca Raton,345,Florida,7.5,89407,26.3683064,-80.1289321,Vendor
Huntington Park,612,California,-4.1,58879,33.9816812,-118.2250725,Vendor
Eden Prairie,557,Minnesota,13.3,62603,44.8546856,-93.470786,Vendor
Blue Springs,689,Missouri,9.9,53294,39.0169509,-94.2816148,Vendor
West Allis,582,Wisconsin,-0.6,60697,43.0166806,-88.0070315,Vendor
Mount Vernon,500,New York,-0.2,68224,40.9125992,-73.8370786,Vendor
Euclid,777,Ohio,-8.4,48139,41.5931049,-81.5267873,Vendor
Canton,463,Ohio,-10.3,72535,40.7989473,-81.378447,Vendor
Brookhaven,729,Georgia,,50603,33.8651033,-84.3365917,Vendor
Elizabeth,203,New Jersey,5.5,127558,40.6639916,-74.2107006,Vendor
Thornton,205,Colorado,52.9,127359,39.8680412,-104.9719243,Vendor
Indianapolis,12,Indiana,7.8,843393,39.768403,-86.158068,Vendor
Paterson,175,New Jersey,-2.2,145948,40.9167654,-74.171811,Vendor
Anchorage,63,Alaska,15.4,300950,61.2180556,-149.9002778,Vendor
Peoria,149,Arizona,46.5,162592,33.5805955,-112.2373779,Vendor
Peoria,232,Illinois,3,116513,40.6936488,-89.5889864,Vendor
Denton,217,Texas,47.1,123099,33.2148412,-97.1330683,Vendor
Salem,152,Oregon,16.4,160614,44.9428975,-123.0350963,Vendor
San Buenaventura (Ventura),258,California,7.4,108817,34.274646,-119.2290316,Vendor
Colorado Springs,41,Colorado,21.4,439886,38.8338816,-104.8213634,Vendor
Charleston,200,South Carolina,29.2,127999,32.7764749,-79.9310512,Vendor
Lancaster,153,California,33.8,159523,34.6867846,-118.1541632,Vendor
Tallahassee,125,Florida,21.8,186411,30.4382559,-84.2807329,Vendor
Lafayette,214,Louisiana,11,124276,30.2240897,-92.0198427,Vendor
Boise City,98,Idaho,9.5,214237,43.6187102,-116.2146068,Vendor
Tempe,143,Arizona,5.8,168228,33.4255104,-111.9400054,Vendor
Omaha,42,Nebraska,5.9,434353,41.2523634,-95.9979883,Vendor
New Britain,461,Connecticut,1.9,72939,41.6612104,-72.7795419,Vendor
Boynton Beach,474,Florida,17.3,71097,26.5317866,-80.0905465,Vendor
College Station,293,Texas,45.2,100050,30.627977,-96.3344068,Vendor
Wilmington,470,Delaware,-1.6,71525,39.7390721,-75.5397878,Vendor
Redding,334,California,11.9,91119,40.5865396,-122.3916754,Vendor
Greeley,308,Colorado,23.1,96539,40.4233142,-104.7091322,Vendor
Passaic,478,New Jersey,4.3,70868,40.8567662,-74.1284764,Vendor
Wyoming,451,Michigan,6.5,74100,42.9133602,-85.7053085,Vendor
Sugar Land,379,Texas,29.1,83860,29.6196787,-95.6349463,Vendor
Bryan,416,Texas,19.3,78709,30.6743643,-96.3699632,Vendor
Pflugerville,683,Texas,123.4,53752,30.4393696,-97.6200043,Vendor
West Des Moines,574,Iowa,29.8,61255,41.5772115,-93.711332,Vendor
Dublin,706,California,70,52105,37.7021521,-121.9357918,Vendor
Hoboken,697,New Jersey,35.8,52575,40.7439905,-74.0323626,Vendor
Kissimmee,534,Florida,32.6,65173,28.2919557,-81.407571,Vendor
Pensacola,696,Florida,-6,52703,30.421309,-87.2169149,Vendor
Elkhart,721,Indiana,-2.5,51265,41.6819935,-85.9766671,Vendor
Conroe,555,Texas,61.9,63032,30.3118769,-95.4560512,Vendor
Lorain,548,Ohio,-7.2,63710,41.452819,-82.1823746,Vendor
Apache Junction,994,Arizona,15.7,37130,33.4150485,-111.5495777,Vendor
Blacksburg,841,Virginia,9.4,43609,37.2295733,-80.4139393,Vendor
Roseville,786,Michigan,-1,47555,42.4972583,-82.9371409,Vendor
Saginaw,736,Michigan,-18.2,50303,43.4194699,-83.9508068,Vendor
Texarkana,985,Texas,7.4,37442,33.425125,-94.0476882,Vendor
Hurst,962,Texas,5.8,38448,32.8234621,-97.1705678,Vendor
Lexington-Fayette,61,Kentucky,18,308428,38.0405837,-84.5037164,Vendor
Baton Rouge,93,Louisiana,0.4,229426,30.4582829,-91.1403196,Vendor
Escondido,166,California,10.7,148738,33.1192068,-117.086421,Vendor
Modesto,105,California,7.7,204933,37.6390972,-120.9968782,Vendor
Fremont,97,California,10,224922,37.5482697,-121.9885719,Vendor
Lakewood,173,Colorado,1.9,147214,39.7047095,-105.0813734,Vendor
Cape Coral,146,Florida,60.4,165831,26.5628537,-81.9495331,Vendor
San Antonio,7,Texas,21,1409019,29.4241219,-98.4936282,Vendor
Henderson,71,Nevada,51,270811,36.0395247,-114.9817213,Vendor
Rancho Santa Margarita,758,California,4.6,49228,33.640855,-117.603104,Vendor
Kannapolis,830,North Carolina,18.6,44359,35.4873613,-80.6217341,Vendor
Mount Prospect,669,Illinois,-2.5,54771,42.0664167,-87.9372908,Vendor
Cupertino,589,California,14.3,60189,37.3229978,-122.0321823,Vendor
Battle Creek,710,Michigan,-2.8,51848,42.3211522,-85.1797142,Vendor
Minot,803,North Dakota,26.6,46321,48.2329668,-101.2922906,Vendor
Covina,774,California,3.3,48508,34.0900091,-117.8903397,Vendor
Taylorsville,584,Utah,2.9,60519,40.6677248,-111.9388258,Vendor
Manhattan,647,Kansas,22.8,56143,39.1836082,-96.5716694,Vendor
Galveston,765,Texas,-15.2,48733,29.3013479,-94.7976958,Vendor
Fall River,349,Massachusetts,-3.7,88697,41.7014912,-71.1550451,Vendor
Bristol,583,Connecticut,0.4,60568,41.6717648,-72.9492703,Vendor
Bayonne,538,New Jersey,5.1,65028,40.6687141,-74.1143091,Vendor
Dearborn,311,Michigan,-2,95884,42.3222599,-83.1763145,Vendor
Hamilton,561,Ohio,2.7,62258,39.3995008,-84.5613355,Vendor
Davie,307,Florida,17.7,96830,26.0764783,-80.2521157,Vendor
McAllen,188,Texas,27.6,136639,26.2034071,-98.2300124,Vendor
Portland,519,Maine,3.2,66318,43.661471,-70.2553259,Vendor
Utica,567,New York,2.2,61808,43.100903,-75.232664,Vendor
Tyler,291,Texas,18.6,100223,32.3512601,-95.3010624,Vendor
Winter Garden,975,Florida,142.5,37711,28.5652787,-81.5861847,Vendor
Charlotte,16,North Carolina,39.1,792862,35.2270869,-80.8431267,Vendor
Independence,227,Missouri,3.2,117240,39.0911161,-94.4155068,Vendor
Stamford,209,Connecticut,7.6,126456,41.0534302,-73.5387341,Vendor
Hartford,212,Connecticut,0.6,125017,41.7637111,-72.6850932,Vendor
Grand Rapids,123,Michigan,-2.8,192294,42.9633599,-85.6680863,Vendor
Huntsville,126,Alabama,16.3,186254,34.7303688,-86.5861037,Vendor
Brownsville,131,Texas,26.8,181860,25.9017472,-97.4974838,Vendor
Corona,154,California,23.6,159503,33.8752935,-117.5664384,Vendor
Waco,197,Texas,12.5,129030,31.549333,-97.1466695,Vendor
Pittsfield,836,Massachusetts,-3.6,44057,42.4500845,-73.2453824,Vendor
Palm Springs,804,California,7.7,46281,33.8302961,-116.5452921,Vendor
Paramount,664,California,-0.7,54980,33.8894598,-118.1597911,Vendor
Cleveland Heights,820,Ohio,-10.3,45394,41.5200518,-81.556235,Vendor
Gilroy,712,California,23.9,51701,37.0057816,-121.5682751,Vendor
Greenwood,684,Indiana,46,53665,39.6136578,-86.1066526,Vendor
Oak Park,707,Illinois,-0.8,52066,41.8850317,-87.7845025,Vendor
Sarasota,688,Florida,1.4,53326,27.3364347,-82.5306527,Vendor
Monroe,749,Louisiana,-6.1,49761,32.5093109,-92.1193012,Vendor
Manchester,248,New Hampshire,2.9,110378,42.9956397,-71.4547891,Vendor
Brooklyn Park,419,Minnesota,16,78373,45.0941315,-93.3563405,Vendor
Buena Park,386,California,6.1,82882,33.8675143,-117.9981181,Vendor
Norwalk,267,California,1.9,106589,33.9022367,-118.081733,Vendor
Bloomington,392,Indiana,16.1,82575,39.165325,-86.5263857,Vendor
Pueblo,259,Colorado,5.9,108249,38.2544472,-104.6091409,Vendor
Westland,391,Michigan,-4.7,82578,42.324204,-83.400211,Vendor
Lansing,236,Michigan,-4.4,113972,42.732535,-84.5555347,Vendor
Gresham,254,Oregon,20.7,109397,45.5001357,-122.4302013,Vendor
Jurupa Valley,300,California,,98030,33.9971974,-117.4854802,Vendor
West Haven,662,Connecticut,5.1,55046,41.2705484,-72.9469711,Vendor
Bellflower,427,California,6.3,77593,33.8816818,-118.1170117,Vendor
Orland Park,614,Illinois,13.9,58590,41.6303103,-87.8539425,Vendor
Rocklin,597,California,60.3,59738,38.7907339,-121.2357828,Vendor
Tulare,576,California,33.3,61170,36.2077288,-119.3473379,Vendor
Owensboro,617,Kentucky,7.7,58416,37.7719074,-87.1111676,Vendor
Lauderhill,488,Florida,4.2,69813,26.1403635,-80.2133808,Vendor
Flower Mound,496,Texas,32.5,68609,33.0145673,-97.0969552,Vendor
Marietta,608,Georgia,-3.8,59089,33.952602,-84.5499327,Vendor
Florence,973,South Carolina,19.8,37792,34.1954331,-79.7625625,Vendor
Chelsea,976,Massachusetts,7.3,37670,42.3917638,-71.0328284,Vendor
San Bruno,868,California,5.6,42443,37.6304904,-122.4110835,Vendor
Belleville,861,Illinois,1.2,42895,38.5200504,-89.9839935,Vendor
San Bernardino,100,California,13,213708,34.1083449,-117.2897652,Vendor
Chula Vista,75,California,46.2,256780,32.6400541,-117.0841955,Vendor
Virginia Beach,39,Virginia,5.1,448479,36.8529263,-75.977985,Vendor
San Diego,8,California,10.5,1355896,32.715738,-117.1610838,Vendor
Minneapolis,46,Minnesota,4.5,400070,44.977753,-93.2650108,Vendor
Salinas,157,California,8.4,155662,36.6777372,-121.6555013,Vendor
Mesquite,178,Texas,14.7,143484,32.7667955,-96.5991593,Vendor
McKinney,167,Texas,165.3,148559,33.1972465,-96.6397822,Vendor
Killeen,185,Texas,52.1,137147,31.1171194,-97.7277959,Vendor
Bloomington,362,Minnesota,1.3,86319,44.840798,-93.2982799,Vendor
Lee's Summit,323,Missouri,31.2,93184,38.9108408,-94.3821724,Vendor
Cranston,405,Rhode Island,1.4,80566,41.7798226,-71.4372796,Vendor
Berkeley,231,California,13.3,116768,37.8715926,-122.272747,Vendor
Coral Springs,208,Florida,5.7,126604,26.271192,-80.2706044,Vendor
Bartlett,622,Tennessee,31.7,58226,35.2045328,-89.8739753,Vendor
Vineland,578,New Jersey,9.3,61050,39.4863773,-75.0259637,Vendor
Green Bay,272,Wisconsin,1.9,104779,44.519159,-88.019826,Vendor
Jupiter,619,Florida,46.2,58298,26.9342246,-80.0942087,Vendor
Yuma,330,Arizona,16.2,91923,32.6926512,-114.6276916,Vendor
Hendersonville,680,Tennessee,31.7,54068,36.3047735,-86.6199957,Vendor
Highland,675,California,21,54291,34.1283442,-117.2086513,Vendor
El Centro,845,California,13.7,43363,32.792,-115.5630514,Vendor
Parker,770,Colorado,96.4,48608,39.5186002,-104.7613633,Vendor
Moline,852,Illinois,-1.9,43116,41.5067003,-90.5151342,Vendor
Grapevine,740,Texas,17.6,50195,32.9342919,-97.0780654,Vendor
Salina,779,Kansas,4.5,47846,38.8402805,-97.6114237,Vendor
Newark,781,Ohio,3.1,47777,40.0581205,-82.4012642,Vendor
Rohnert Park,885,California,0,41398,38.3396367,-122.7010984,Vendor
Martinez,992,California,3.4,37165,38.0193657,-122.1341321,Vendor
Rock Island,951,Illinois,-1.9,38877,41.5094771,-90.5787476,Vendor
Meridian,896,Mississippi,-0.9,40921,32.3643098,-88.703656,Vendor
Cleveland,863,Tennessee,14.1,42774,35.1595182,-84.8766115,Vendor
The Colony,935,Texas,45.7,39458,33.0806083,-96.8928309,Vendor
Somerville,414,Massachusetts,1.6,78804,42.3875968,-71.0994968,Vendor
Santa Clara,220,California,17.4,120245,37.3541079,-121.9552356,Vendor
West Palm Beach,280,Florida,23.5,102436,26.7153424,-80.0533746,Vendor
Miami Gardens,243,Florida,10.5,111378,25.9420377,-80.2456045,Vendor
Wichita Falls,271,Texas,0.7,104898,33.9137085,-98.4933873,Vendor
Lafayette,481,Indiana,14.5,70373,40.4167022,-86.8752869,Vendor
Evanston,439,Illinois,1.9,75570,42.0450722,-87.6876969,Vendor
Beaverton,319,Oregon,17,93542,45.487062,-122.8037102,Vendor
Flint,297,Michigan,-20,99763,43.0125274,-83.6874562,Vendor
Largo,418,Florida,5.1,78409,27.9094665,-82.7873244,Vendor
Burlington,717,North Carolina,12.1,51510,36.0956918,-79.4377991,Vendor
Huntington,760,West Virginia,-5,49177,38.4192496,-82.445154,Vendor
Pittsburg,516,California,16.6,66695,38.0279762,-121.8846806,Vendor
Midwest City,639,Oklahoma,4.5,56756,35.4495065,-97.3967019,Vendor
Kingsport,694,Tennessee,16.7,52962,36.548434,-82.5618186,Vendor
Kenner,512,Louisiana,-4.8,66975,29.9940924,-90.2417434,Vendor
Lodi,550,California,10.1,63338,38.1341477,-121.2722194,Vendor
Edina,756,Minnesota,4.1,49376,44.8896866,-93.3499489,Vendor
Carol Stream,914,Illinois,-0.2,40379,41.9125286,-88.1347927,Vendor
Clovis,934,New Mexico,21.3,39508,34.4047987,-103.2052272,Vendor
Ocoee,947,Florida,57.9,39172,28.5691677,-81.5439619,Vendor
Findlay,884,Ohio,5.8,41512,41.04422,-83.6499321,Vendor
Roy,974,Utah,13.3,37733,41.1616108,-112.0263313,Vendor
Peachtree Corners,923,Georgia,,40059,33.9698929,-84.2214551,Vendor
Thousand Oaks,198,California,9.5,128731,34.1705609,-118.8375937,Vendor
Los Angeles,2,California,4.8,3884307,34.0522342,-118.2436849,Vendor
Jersey City,74,New Jersey,7.2,257342,40.7281575,-74.0776417,Vendor
Santa Rosa,140,California,15.2,171990,38.440429,-122.7140548,Vendor
Spokane,102,Washington,7,210721,47.6587802,-117.4260466,Vendor
Baltimore,26,Maryland,-4,622104,39.2903848,-76.6121893,Vendor
Oakland,45,California,1.3,406253,37.8043637,-122.2711137,Vendor
Fresno,34,California,18.3,509924,36.7468422,-119.7725868,Vendor
St. Paul,66,Minnesota,2.8,294873,44.9537029,-93.0899578,Vendor
Victorville,218,California,87.6,121096,34.5362184,-117.2927641,Vendor
Fort Lauderdale,139,Florida,0.7,172389,26.1224386,-80.1373174,Vendor
Springfield,148,Missouri,7.8,164122,37.2089572,-93.2922989,Vendor
Chicago,3,Illinois,-6.1,2718782,41.8781136,-87.6297982,Vendor
Detroit,18,Michigan,-27.1,688701,42.331427,-83.0457538,Vendor
Joliet,169,Illinois,36.5,147806,41.525031,-88.0817251,Vendor
Olathe,193,Kansas,40.4,131885,38.8813958,-94.8191285,Vendor
Laredo,80,Texas,38.2,248142,27.5305671,-99.4803241,Vendor
Garland,88,Texas,8.5,234566,32.912624,-96.6388833,Vendor
Kennewick,432,Washington,29.1,76762,46.2112458,-119.1372338,Vendor
Richmond,262,California,7.9,107571,37.9357576,-122.3477486,Vendor
Warner Robins,464,Georgia,45.7,72531,32.6130007,-83.624201,Vendor
Palm Coast,415,Florida,137.2,78740,29.5844524,-81.2078699,Vendor
Johns Creek,389,Georgia,36.5,82788,34.0289259,-84.198579,Vendor
Billings,256,Montana,18.6,109059,45.7832856,-108.5006904,Vendor
Melbourne,428,Florida,5.9,77508,28.0836269,-80.6081089,Vendor
Deltona,363,Florida,23.1,86290,28.9005446,-81.2636738,Vendor
Gary,417,Indiana,-23.4,78450,41.5933696,-87.3464271,Vendor
Sandy,341,Utah,1.3,90231,40.5649781,-111.8389726,Vendor
Rock Hill,492,South Carolina,36,69103,34.9248667,-81.0250784,Vendor
Bismarck,510,North Dakota,20.1,67034,46.8083268,-100.7837392,Vendor
Casa Grande,743,Arizona,86,50111,32.8795022,-111.7573521,Vendor
Wauwatosa,795,Wisconsin,0,47134,43.0494572,-88.0075875,Vendor
Carson City,678,Nevada,2.9,54080,39.1637984,-119.7674034,Vendor
Azusa,780,California,6.7,47842,34.1336186,-117.9075627,Vendor
Missouri City,485,Texas,31.1,70185,29.6185669,-95.5377215,Vendor
Waterloo,498,Iowa,-0.5,68366,42.492786,-92.3425775,Vendor
Troy,745,New York,1.5,49974,42.7284117,-73.6917851,Vendor
Morgan Hill,900,California,19.5,40836,37.1305012,-121.6543901,Vendor
Binghamton,800,New York,-1.7,46444,42.0986867,-75.9179738,Vendor
Salem,866,Massachusetts,5.1,42544,42.51954,-70.8967155,Vendor
Muskogee,952,Oklahoma,-0.7,38863,35.7478769,-95.3696909,Vendor
Pine Bluff,805,Arkansas,-16.2,46094,34.2284312,-92.0031955,Vendor
Freeport,851,New York,-1.4,43167,40.6576022,-73.5831835,Vendor
Lombard,838,Illinois,2.9,43907,41.8800296,-88.0078435,Vendor
Fairfield,865,Ohio,1.2,42635,39.3454673,-84.5603187,Vendor
Federal Way,324,Washington,8.8,92734,47.3223221,-122.3126222,Vendor
Lowell,257,Massachusetts,3.4,108861,42.6334247,-71.3161718,Vendor
Concord,383,North Carolina,47.4,83506,35.4087517,-80.579511,Vendor
Broken Arrow,278,Oklahoma,28.2,103500,36.060949,-95.7974526,Vendor
Clearwater,252,Florida,0.1,109703,27.9658533,-82.8001026,Vendor
Boulder,279,Colorado,9,103166,40.0149856,-105.2705456,Vendor
Kent,213,Washington,54.3,124435,47.3809335,-122.2348431,Vendor
West Jordan,250,Utah,38.4,110077,40.6096698,-111.9391031,Vendor
Meridian,381,Idaho,127.6,83596,43.6121087,-116.3915131,Vendor
Iowa City,468,Iowa,13.8,71591,41.6611277,-91.5301683,Vendor
Rancho Cordova,503,California,26.4,67911,38.5890723,-121.302728,Vendor
Dearborn Heights,642,Michigan,-3,56620,42.3369816,-83.2732627,Vendor
San Clemente,537,California,28.6,65040,33.4269728,-117.6119925,Vendor
Plainfield,730,New Jersey,5.7,50588,40.6337136,-74.4073736,Vendor
Yucaipa,698,California,26.8,52536,34.033625,-117.0430865,Vendor
Buckeye,641,Arizona,480.9,56683,33.3703197,-112.5837766,Vendor
Smyrna,687,Georgia,20,53438,33.8839926,-84.5143761,Vendor
Dubuque,621,Iowa,0.9,58253,42.5005583,-90.6645718,Vendor
Pittsburgh,62,Pennsylvania,-8.3,305841,40.4406248,-79.9958864,Vendor
Bridgeport,172,Connecticut,5.4,147216,41.1865478,-73.1951767,Vendor
New Haven,195,Connecticut,5.5,130660,41.308274,-72.9278835,Vendor
Nashville,25,Tennessee,16.2,634464,36.1626638,-86.7816016,Vendor
Anaheim,56,California,4.7,345012,33.8352932,-117.9145036,Vendor
St. Louis,58,Missouri,-8.2,318416,38.6270025,-90.1994042,Vendor
Syracuse,177,New York,-0.9,144669,43.0481221,-76.1474244,Vendor
Honolulu,54,Hawaii,-6.2,347884,21.3069444,-157.8583333,Vendor
Aurora,114,Illinois,38.4,199963,41.7605849,-88.3200715,Vendor
St. Louis Park,789,Minnesota,7.3,47411,44.9597376,-93.3702186,Vendor
Apple Valley,739,Minnesota,9.2,50201,44.7319094,-93.21772,Vendor
Edmonds,902,Washington,2.9,40727,47.8106521,-122.3773552,Vendor
Leesburg,783,Virginia,66,47673,39.1156615,-77.5636015,Vendor
Cutler Bay,848,Florida,42.9,43328,25.5808323,-80.3468593,Vendor
Haltom City,843,Texas,11.4,43580,32.7995738,-97.2691817,Vendor
Brea,893,California,15.2,40963,33.9166805,-117.9000604,Vendor
Apopka,815,Florida,63.9,45587,28.6934076,-81.5322149,Vendor
Florence,922,Alabama,10.2,40059,34.79981,-87.677251,Vendor
Doral,738,Florida,137.6,50213,25.8195424,-80.3553302,Vendor
Phenix City,983,Alabama,31.9,37498,32.4709761,-85.0007653,Vendor
Duncanville,932,Texas,9.7,39605,32.6518004,-96.9083366,Vendor
Philadelphia,5,Pennsylvania,2.6,1553165,39.9525839,-75.1652215,Vendor
Greensboro,68,North Carolina,22.3,279639,36.0726354,-79.7919754,Vendor
Westminster,331,California,3.9,91739,33.7513419,-117.9939921,Vendor
San Marcos,346,California,60,89387,33.1433723,-117.1661449,Vendor
Clarksville,181,Tennessee,36.9,142357,36.5297706,-87.3594528,Vendor
Downey,238,California,5.3,113242,33.9401088,-118.1331593,Vendor
Lynn,333,Massachusetts,2.6,91589,42.466763,-70.9494938,Vendor
Lakeland,289,Florida,18.3,100710,28.0394654,-81.9498042,Vendor
Cicero,377,Illinois,-1.6,84103,41.8455877,-87.7539448,Vendor
Rocky Mount,634,North Carolina,-3.1,56954,35.9382103,-77.7905339,Vendor
Grand Forks,665,North Dakota,11.5,54932,47.9252568,-97.0328547,Vendor
Chesterfield,782,Missouri,1.9,47749,38.6631083,-90.5770675,Vendor
Hackensack,834,New Jersey,2.9,44113,40.8859325,-74.0434736,Vendor
Valley Stream,977,New York,3.6,37659,40.6642699,-73.7084645,Vendor
Port Orange,631,Florida,22.8,57203,29.1383165,-80.9956105,Vendor
Greenacres,955,Florida,35.5,38696,26.6276276,-80.1353896,Vendor
York,837,Pennsylvania,6.4,43935,39.9625984,-76.727745,Vendor
Berwyn,638,Illinois,5.1,56758,41.8505874,-87.7936685,Vendor
Lancaster,944,Ohio,10.7,39325,39.7136754,-82.5993294,Vendor
Bellingham,390,Washington,21.8,82631,48.74908,-122.4781473,Vendor
Lakewood,399,California,2.1,81121,33.8536269,-118.1339563,Vendor
Milpitas,489,California,11,69783,37.4323341,-121.8995741,Vendor
Des Plaines,611,Illinois,3.2,58918,42.0333623,-87.8833991,Vendor
Woodbury,528,Minnesota,39.8,65656,44.9238552,-92.9593797,Vendor
Terre Haute,579,Indiana,2.5,61025,39.4667034,-87.4139092,Vendor
Pasco,506,Washington,98.5,67599,46.2395793,-119.1005657,Vendor
Pontiac,594,Michigan,-11.4,59887,42.6389216,-83.2910468,Vendor
Pharr,455,Texas,55.7,73790,26.1947962,-98.1836216,Vendor
Temple,484,Texas,27.1,70190,31.0982344,-97.342782,Vendor
Westerville,981,Ohio,5.7,37530,40.1261743,-82.9290696,Vendor
Dover,987,Delaware,16,37366,39.158168,-75.5243682,Vendor
Augusta-Richmond County,119,Georgia,1.1,197350,33.4734978,-82.0105148,Vendor
Fayetteville,106,North Carolina,2.4,204408,35.0526641,-78.8783585,Vendor
Albuquerque,32,New Mexico,23.5,556495,35.0853336,-106.6055534,Vendor
Torrance,171,California,6.6,147478,33.8358492,-118.3406288,Vendor
Naperville,176,Illinois,12,144864,41.7508391,-88.1535352,Vendor
Knoxville,128,Tennessee,3.9,183270,35.9606384,-83.9207392,Vendor
Rockford,164,Illinois,-1,150251,42.2711311,-89.0939952,Vendor
Hollywood,174,Florida,4.8,146526,26.0112014,-80.1494901,Vendor
Madison,83,Wisconsin,15.8,243344,43.0730517,-89.4012302,Vendor
Athens-Clarke County,222,Georgia,19,119980,33.9519347,-83.357567,Vendor
Mountain View,424,California,10.1,77846,37.3860517,-122.0838511,Vendor
South Gate,312,California,-0.8,95677,33.954737,-118.2120161,Vendor
El Cajon,282,California,7.4,102211,32.7947731,-116.9625269,Vendor
Gainesville,204,Florida,12.8,127488,29.6516344,-82.3248262,Vendor
Visalia,201,California,33.6,127763,36.3302284,-119.2920585,Vendor
Kalamazoo,440,Michigan,-1.9,75548,42.2917069,-85.5872286,Vendor
Palm Bay,270,Florida,31.7,104898,28.0344621,-80.5886646,Vendor
Lawton,304,Oklahoma,4.9,97151,34.6035669,-98.3959291,Vendor
Albany,436,Georgia,-0.6,76185,31.5785074,-84.155741,Vendor
Lake Elsinore,628,California,96.5,57525,33.6680772,-117.3272615,Vendor
Broomfield,600,Colorado,50.3,59471,39.9205411,-105.0866504,Vendor
Great Falls,604,Montana,3.9,59351,47.4941836,-111.2833449,Vendor
Eau Claire,508,Wisconsin,8.7,67545,44.811349,-91.4984941,Vendor
Santa Fe,487,New Mexico,10.5,69976,35.6869752,-105.937799,Vendor
Rogers,591,Arkansas,50.6,60112,36.3320196,-94.1185366,Vendor
Mansfield,581,Texas,114.2,60872,32.5631924,-97.1416768,Vendor
Victoria,536,Texas,7.5,65098,28.8052674,-97.0035982,Vendor
West Sacramento,746,California,55.6,49891,38.5804609,-121.530234,Vendor
Attleboro,839,Massachusetts,4.6,43886,41.9445441,-71.2856082,Vendor
Sammamish,742,Washington,44.1,50169,47.6162683,-122.0355736,Vendor
Coachella,853,California,88.4,43092,33.6803003,-116.173894,Vendor
Wilson,753,North Carolina,10.1,49628,35.7212689,-77.9155395,Vendor
Sayreville,829,New Jersey,9.6,44412,40.4594021,-74.360846,Vendor
La Crosse,716,Wisconsin,-0.8,51522,43.8013556,-91.2395807,Vendor
Maricopa,817,Arizona,2503.4,45508,33.0581063,-112.0476423,Vendor
Tigard,734,Oregon,17.8,50444,45.4312294,-122.7714861,Vendor
Wylie,828,Texas,185.2,44575,33.0151201,-96.5388789,Vendor
Marlborough,937,Massachusetts,7.6,39414,42.3459271,-71.5522874,Vendor
Fond du Lac,857,Wisconsin,1.7,42970,43.7730448,-88.4470508,Vendor
Bentonville,921,Arkansas,97.7,40167,36.3728538,-94.2088172,Vendor
Moorhead,939,Minnesota,21.3,39398,46.8737648,-96.7678039,Vendor
Panama City,1000,Florida,0.1,36877,30.1588129,-85.6602058,Vendor
Santa Clarita,133,California,15.3,179590,34.3916641,-118.542586,Vendor
New Orleans,51,Louisiana,-21.6,378715,29.9510658,-90.0715323,Vendor
Oceanside,137,California,6.6,172794,33.1958696,-117.3794834,Vendor
Durham,82,North Carolina,29.9,245475,35.9940329,-78.898619,Vendor
